"OriginalName" "DescriptiveName"
"1" "SubjectID" "SubjectID"
"2" "Activity" "Activity"
"3" "tBodyAcc-mean()-X" "Time_Body_Acceleration_Mean_Xaxis"
"4" "tBodyAcc-mean()-Y" "Time_Body_Acceleration_Mean_Yaxis"
"5" "tBodyAcc-mean()-Z" "Time_Body_Acceleration_Mean_Zaxis"
"6" "tBodyAcc-std()-X" "Time_Body_Acceleration_StandardDeviation_Xaxis"
"7" "tBodyAcc-std()-Y" "Time_Body_Acceleration_StandardDeviation_Yaxis"
"8" "tBodyAcc-std()-Z" "Time_Body_Acceleration_StandardDeviation_Zaxis"
"9" "tGravityAcc-mean()-X" "Time_Gravity_Acceleration_Mean_Xaxis"
"10" "tGravityAcc-mean()-Y" "Time_Gravity_Acceleration_Mean_Yaxis"
"11" "tGravityAcc-mean()-Z" "Time_Gravity_Acceleration_Mean_Zaxis"
"12" "tGravityAcc-std()-X" "Time_Gravity_Acceleration_StandardDeviation_Xaxis"
"13" "tGravityAcc-std()-Y" "Time_Gravity_Acceleration_StandardDeviation_Yaxis"
"14" "tGravityAcc-std()-Z" "Time_Gravity_Acceleration_StandardDeviation_Zaxis"
"15" "tBodyAccJerk-mean()-X" "Time_Body_Acceleration_Jerk_Mean_Xaxis"
"16" "tBodyAccJerk-mean()-Y" "Time_Body_Acceleration_Jerk_Mean_Yaxis"
"17" "tBodyAccJerk-mean()-Z" "Time_Body_Acceleration_Jerk_Mean_Zaxis"
"18" "tBodyAccJerk-std()-X" "Time_Body_Acceleration_Jerk_StandardDeviation_Xaxis"
"19" "tBodyAccJerk-std()-Y" "Time_Body_Acceleration_Jerk_StandardDeviation_Yaxis"
"20" "tBodyAccJerk-std()-Z" "Time_Body_Acceleration_Jerk_StandardDeviation_Zaxis"
"21" "tBodyGyro-mean()-X" "Time_Body_Gyroscopic_Mean_Xaxis"
"22" "tBodyGyro-mean()-Y" "Time_Body_Gyroscopic_Mean_Yaxis"
"23" "tBodyGyro-mean()-Z" "Time_Body_Gyroscopic_Mean_Zaxis"
"24" "tBodyGyro-std()-X" "Time_Body_Gyroscopic_StandardDeviation_Xaxis"
"25" "tBodyGyro-std()-Y" "Time_Body_Gyroscopic_StandardDeviation_Yaxis"
"26" "tBodyGyro-std()-Z" "Time_Body_Gyroscopic_StandardDeviation_Zaxis"
"27" "tBodyGyroJerk-mean()-X" "Time_Body_Gyroscopic_Jerk_Mean_Xaxis"
"28" "tBodyGyroJerk-mean()-Y" "Time_Body_Gyroscopic_Jerk_Mean_Yaxis"
"29" "tBodyGyroJerk-mean()-Z" "Time_Body_Gyroscopic_Jerk_Mean_Zaxis"
"30" "tBodyGyroJerk-std()-X" "Time_Body_Gyroscopic_Jerk_StandardDeviation_Xaxis"
"31" "tBodyGyroJerk-std()-Y" "Time_Body_Gyroscopic_Jerk_StandardDeviation_Yaxis"
"32" "tBodyGyroJerk-std()-Z" "Time_Body_Gyroscopic_Jerk_StandardDeviation_Zaxis"
"33" "tBodyAccMag-mean()" "Time_Body_Acceleration_Magnitude_Mean"
"34" "tBodyAccMag-std()" "Time_Body_Acceleration_Magnitude_StandardDeviation"
"35" "tGravityAccMag-mean()" "Time_Gravity_Acceleration_Magnitude_Mean"
"36" "tGravityAccMag-std()" "Time_Gravity_Acceleration_Magnitude_StandardDeviation"
"37" "tBodyAccJerkMag-mean()" "Time_Body_Acceleration_JerkMagnitude_Mean"
"38" "tBodyAccJerkMag-std()" "Time_Body_Acceleration_JerkMagnitude_StandardDeviation"
"39" "tBodyGyroMag-mean()" "Time_Body_Gyroscopic_Magnitude_Mean"
"40" "tBodyGyroMag-std()" "Time_Body_Gyroscopic_Magnitude_StandardDeviation"
"41" "tBodyGyroJerkMag-mean()" "Time_Body_Gyroscopic_JerkMagnitude_Mean"
"42" "tBodyGyroJerkMag-std()" "Time_Body_Gyroscopic_JerkMagnitude_StandardDeviation"
"43" "fBodyAcc-mean()-X" "Frequency_Body_Acceleration_Mean_Xaxis"
"44" "fBodyAcc-mean()-Y" "Frequency_Body_Acceleration_Mean_Yaxis"
